,도서명,저자,출판사,ISBN,주제분류번호,등록일자,이미지주소
3511,(한 줄씩 따라 해보는) 파이토치 딥러닝 프로젝트 모음집 :다양한 AI 프로젝트로 실전 감각 익히기 ,"투빅스,이경택 외 8인 지음",비제이퍼블릭,9791165920753,004.73,2021-08-13,http://image.kyobobook.co.kr/images/book/large/753/l9791165920753.jpg
3512,구글 마스터의 길 :깨어나는 디지털 포스 ,"신민철,전효진,서광석,박정철 지음",테크빌교육,9791163461258,004.584,2021-08-09,http://image.kyobobook.co.kr/images/book/large/258/l9791163461258.jpg
3513,클린 파이썬 :효과적인 파이썬 코딩 기법 ,수닐 카필 지음 ;유연재 옮김,에이콘(에이콘출판주식회사),9791161755113,005.133,2021-08-05,http://image.kyobobook.co.kr/images/book/large/113/l9791161755113.jpg
3514,"인공지능, 문학과 예술을 만나다 ","지은이: 강영근,강우규;김바로,김민영,김성규,김성문,박경하,박소영,유원준,유형동,이대화,이명현,조수남,한미라",,9788982981911,004.73,2021-08-03,http://image.kyobobook.co.kr/images/book/large/911/l9788982981911.jpg
3515,(수학·통계를 몰라도 이해할 수 있는) 쉬운 딥러닝 :비전공자도 볼 수 있는 최초의 딥러닝 입문서 ,반병현 지음,생능출판(생능출판사),9788970504872,004.73,2021-08-03,http://image.kyobobook.co.kr/images/book/large/872/l9788970504872.jpg
3516,아이패드 인물 드로잉 :with 프로크리에이트 & 어도비 프레스코 ,서미리 지음,피앤피북,9791191188370,005.565,2021-08-03,http://image.kyobobook.co.kr/images/book/large/370/l9791191188370.jpg
3517,Data Catalog 만들기 :Data Lake 플랫폼의 핵심 서비스 구현 ,윤선웅 지음,좋은땅,9791166498053,005.76,2021-08-03,http://image.kyobobook.co.kr/images/book/large/053/l9791166498053.jpg
3518,(문제해결을 위한) 컴퓨팅 사고와 파이썬 ,김지연 지음,한빛아카데미,9791156645375,005.133,2021-08-03,http://image.kyobobook.co.kr/images/book/large/375/l9791156645375.jpg
3519,파이썬 해킹 레시피 :웹 크롤링 및 취약점 진단 도구를 구현해보는 정보 보안 실습 ,공재웅 지음,BJpublic(비제이퍼블릭),9791165920722,004.67,2021-08-03,http://image.kyobobook.co.kr/images/book/large/722/l9791165920722.jpg
3520,ZOOM 으로 강의하라 :성공적인 찐 줌 수업 워크숍 ,홍영일 지음,BM성안당,9788931557022,005.567,2021-08-03,http://image.kyobobook.co.kr/images/book/large/022/l9788931557022.jpg
3521,알고리즘이 보이는 그림책 :국내 최초 그림으로 배우는 algorithm 입문서 ,"ANK 저 ;이영란,김성훈 공역",BM성안당,9788931556421,005.1,2021-08-03,http://image.kyobobook.co.kr/images/book/large/421/l9788931556421.jpg
3522,"(스마트 시니어) 폰맹 탈출하기 :3060, 만사핸통 시대의 디지털 리터러시 극복 ","가재산,장동익,김영희 지음",대원사,9788936921842,004.16,2021-08-03,http://image.kyobobook.co.kr/images/book/large/842/l9788936921842.jpg
3523,마스터링 TCP/IP :입문편 ,"이노우에 나오야,무라야마 유키오,다케시타 다카후미,아라이 토오루,가리타 유키오 공저 ;이영란,김성훈 역",BM성안당,9788931556902,004.57,2021-08-03,http://image.kyobobook.co.kr/images/book/large/902/l9788931556902.jpg
3524,(오준석의) 플러터 생존코딩 :Flutter와 Dart 입문부터 안드로이드와 iOS용 3가지 앱 개발까지 ,오준석 지음,한빛미디어,9791162244371,005.11,2021-08-03,http://image.kyobobook.co.kr/images/book/large/371/l9791162244371.jpg
